car_code,category_key,image,caption,sort_order
CAR021,exterior,cars/images/Taigun_2023 (3).avif,Front View,1 
CAR021,exterior,cars/images/Taigun_2023 (4).avif,Front View,1 
CAR021,exterior,cars/images/Taigun_2023 (5).avif,Front View,1 
CAR021,exterior,cars/images/Taigun_2023 (6).avif,Front View,1 
CAR021,exterior,cars/images/Taigun_2023 (7).avif,Front View,1 
CAR021,exterior,cars/images/Taigun_2023 (8).avif,Front View,1 
CAR021,exterior,cars/images/Taigun_2023 (9).avif,Front View,1 
CAR021,exterior,cars/images/Taigun_2023 (10).avif,Front View,1 
CAR021,exterior,cars/images/Taigun_2023 (11).avif,Front View,1 
CAR021,exterior,cars/images/Taigun_2023 (12).avif,Front View,1 
CAR021,exterior,cars/images/Taigun_2023 (13).avif,Front View,1 
CAR021,exterior,cars/images/Taigun_2023 (14).avif,Front View,1 
CAR021,exterior,cars/images/Taigun_2023 (15).avif,Front View,1 
CAR022,exterior,cars/images/Crysta_2020 (1).avif,Front View,1 
CAR022,exterior,cars/images/Crysta_2020 (2).avif,Front View,1 
CAR022,exterior,cars/images/Crysta_2020 (3).avif,Front View,1 
CAR022,exterior,cars/images/Crysta_2020 (4).avif,Front View,1 
CAR022,exterior,cars/images/Crysta_2020 (5).avif,Front View,1 
CAR022,exterior,cars/images/Crysta_2020 (6).avif,Front View,1 
CAR022,exterior,cars/images/Crysta_2020 (7).avif,Front View,1 
CAR022,exterior,cars/images/Crysta_2020 (8).avif,Front View,1 
CAR022,exterior,cars/images/Crysta_2020 (9).avif,Front View,1 
CAR022,exterior,cars/images/Crysta_2020 (10).avif,Front View,1 
CAR022,exterior,cars/images/Crysta_2020 (11).avif,Front View,1 
CAR023,exterior,cars/images/Ignis_Zeta_1 (1).avif,Front View,1  
CAR023,exterior,cars/images/Ignis_Zeta_1 (2).avif,Front View,1  
CAR023,exterior,cars/images/Ignis_Zeta_1 (3).avif,Front View,1  
CAR023,exterior,cars/images/Ignis_Zeta_1 (4).avif,Front View,1  
CAR023,exterior,cars/images/Ignis_Zeta_1 (5).avif,Front View,1  
CAR023,exterior,cars/images/Ignis_Zeta_1 (7).avif,Front View,1  
CAR023,exterior,cars/images/Ignis_Zeta_1 (8).avif,Front View,1  
CAR023,exterior,cars/images/Ignis_Zeta_1 (10).avif,Front View,1  
CAR023,exterior,cars/images/Ignis_Zeta_1 (11).avif,Front View,1  
